id_company;creation_time_company;address;zip;country;phone;email;company_name;auto_published
5b044d5576cb5;2018-05-22 17:03:17;N/A;N/A;United States;5613794353;pp@yourvoiceamerica.tv;Power and Patriots;0
5b044da938afa;2018-05-22 17:04:41;N/A;N/A;United States;5613794353;tbv@yourvoiceamerica.tv;The Better View;0
5b044dfca2ce6;2018-05-22 17:06:04;N/A;N/A;United States;5613794353;tva@yourvoiceamerica.tv;Tu Voz America;0
5b04766cc6a2a;2018-05-22 19:58:36;N/A;N/A;United States;6312410359;harry@gvpdigitalmedia.com;GVP Digital;0
5b0590d40d938;2018-05-23 16:03:32;13276 E Fremont PLace;80112;United States;123456789;markleonardnow@gmail.com;Mark Test;0
5b0596e8a1548;2018-05-23 16:29:28;N/A;N/A;United States;7022714436;BattlefieldAmerica@hotmail.com;Battlefield America;0
5b0597ea57074;2018-05-23 16:33:46;N/A;N/A;United States;7022714436;BlueViewTV@hotmail.com;The Blue View;0
5b059a817856c;2018-05-23 16:44:49;13276 E Fremont Pl.;80112;United States;9255192222;WhatJustHappenedAV@gmail.com;What Just Happened with Mark Anthony;0
5b059ada5c42e;2018-05-23 16:46:18;N/A;N/A;United States;7022714436;RealWarTV@hotmail.com;The Real War TV;0
5b059adc989d2;2018-05-23 16:46:20;13276 E Fremont Pl;80112;United States;7022714436;VegasLawyerTV@hotmail.com;Vegas Lawyer;0
5b059b2399bc3;2018-05-23 16:47:31;N/A;N/A;United States;7022714436;OurVoiceAmerica@hotmail.com;Our Voice America with Rob Lauer;0
5b059b60d6405;2018-05-23 16:48:33;N/A;N/A;United States;7022714436;News360Daily@Hotmail.com;The Heat with Megan Barth;0
5b0f2828f006c;2018-05-30 22:39:37;N/A;N/A;United States;6199949991;DamonR1970@gmail.com;The Truth Report;0
5b311c34cc221;2018-06-25 16:45:41;N/A;N/A;United States;6025760962;escott@yourvoiceamerica.tv;Cant seem to delete this;0
5b46670040c2b;2018-07-11 20:22:24;N/A;N/A;United States;2139109818;mychal@mychalwilsonesq.com;The Whistleblower;0
5b52409d9ba04;2018-07-20 20:05:49;N/A;N/A;United States;7043691242;avn@yourvoiceamerica.tv;YVA;0
5b5635a95ec0a;2018-07-23 20:08:09;N/A;N/A;United States;6192007228;JobenomicsAmerica@gmail.com;Jobenomics America;0
5b5f72cf09e13;2018-07-30 20:19:27;N/A;N/A;United States;7604085390;zo@bronzeserpentmedia.com;Bible Trippin with Alfonzo Rachel;0
5b7b06e187427;2018-08-20 18:22:25;n/a;na;United States;3105006073;lydie.denier@gmail.com;Time To Get Real with Lydie Denier;0
5b7b16d2cdaa0;2018-08-20 19:30:27;13276 E. Fremont Place;80112;United States;7196856117;ron@mojo50.com;The Daily Mojo;0
5bda03b47d776;2018-10-31 19:34:12;n/a;n/a;United States;7609367472;radioactivebroadcasting@yahoo.com;Rad TV;0
5bda0406d9287;2018-10-31 19:35:35;n/a;n/a;United States;7609367472;barbarajbeach@gmail.com;American Patriot TV;0
5beb4242700ef;2018-11-13 21:29:38;13276 E. Fremont pl.;80112;United States;7196856117;harry@gvpdigitalmedia.com;America's Voice Live;0
5c378acfb25c9;2019-01-10 18:11:27;13276 E Fremont Pl;80112;United States;3038840136;MarkLeonardNow@gmail.com;Americas Voice Special Report;1
5c7e83c2f4035;2019-03-05 14:12:19;13276 E Fremont Pl;80112;United States;3038840136;MarkLeonardNow@gmail.com;CPAC 2019;0
5c818d5b49e3f;2019-03-07 21:30:03;13276 E Fremont Pl;80112;United States;3032432258;eric@gvpdigitalmedia.com;Breaking Point;1
5cb88e4494926;2019-04-18 14:48:36;13276 E Fremont Pl;80112;United States;3033333333;tkelly@weathernationtv.com;WeatherNation;0
5cc9d51b61ae7;2019-05-01 17:19:23;153 Rivergate Drive, Franklin, TN;37064;United States;8168772285;JoeDanMedia@Gmail.com;JoeDanMedia;0
5cd96e551affd;2019-05-13 13:17:09;13276 E Fremont Pl;80112;United States;6312410359;tkelly@weathernationtv.com;The Steve Gruber Show;1
5cf7e848cc6ac;2019-06-05 16:05:29;somewhere;9000;Portugal;1234656789;contact@tvappagency.com;TVA QA;1
5d11306cabb54;2019-06-24 20:19:56;13276 E Fremont Pl;80112;United States;3032432258;srochelle@p1.media;Daily Report;1
5d82835747ae8;2019-09-18 19:19:51;13276 E Fremont Pl;80112;United States;3033397312;cthompson@weathernationtv.com;Locke and Load;1
5d9b96d37fbb7;2019-10-07 19:49:39;13276 E Fremont Pl;80112;United States;6315139707;eric@gvpdigitalmedia.com;Ringside Politics;1
5dd403f88fe29;2019-11-19 15:02:16;3075 Veterans HighwaySuite 131Ronkonkoma, NY 11779;11779;United States;6315139707;eric@gvpdigitalmedia.com;The War Room;1
5e14ef8bb24e9;2020-01-07 20:52:28;12345 ave;23456;United States;7604085390;Zo@BronzeSerpentMedia.com;Bronze Serpent Media;1
5e21be694d2d9;2020-01-17 14:02:17;13276 E Fremont Pl;80112;United States;3032432258;cthompson@americasvoice.news;John Martin Talks;1
5e43105a0beee;2020-02-11 20:36:42;13276 E Fremont Pl;80112;United States;3032432258;trumprally@americasvoice.news;Trump Rally;1
5e431a7522465;2020-02-11 21:19:49;13276 E Fremont Pl;80112;United States;3032432258;roadshow@americasvoice.news;Road Show;1
5e7e336e08d3c;2020-03-27 17:10:06;3075 Veterans Highway - Suite 131;11779;United States;6312852544;harry@gvpdigitalmedia.com;The Invisible Enemy;1
5e834e867140e;2020-03-31 14:07:02;13276 E Fremont Pl;80112;United States;3032432258;FaithOverFear@americasvoice.news;Faith Over Fear;1
5e8640130bea9;2020-04-02 19:42:11;13276 E Fremont Pl;80112;United States;3032432258;TheInvisibleEnemy@americasvoice.news;The Invisible Enemy;1
5e8641907d9cc;2020-04-02 19:48:32;13276 E Fremont Pl;80112;United States;3032432258;GinaLoudonLive@americasvoice.news;Gina Loudon Live;1
5f3c4bec2a778;2020-08-18 21:45:16;13276 E Fremont Pl;80112;United States;333333333;srochelle@americasvoice.news;National Pulse;1
5f43b6e26b165;2020-08-24 12:47:30;13276 E Fremont Pl;80112;United States;333333333;tds@americasvoice.news;News On;1
